Model,Metric,HAM10000,Overall,Light,Dark,PR (Light),PR (Dark),Z-Statistic,P-Value,Significance
ResNet50,Precision (Malignant),0.7507029053420806,0.7798165137614679,0.8974358974358975,0.4838709677419355,0.11761938367442959,-0.2959455460195324,5.873662499252308,4.262707789109377e-09,***
DenseNet121,Precision (Malignant),0.734447539461467,0.6917293233082706,0.8152173913043478,0.4146341463414634,0.12348806799607714,-0.27709517696680724,5.242734824899027,1.5821384133388635e-07,***
MobileNetV2,Precision (Malignant),0.7223942208462333,0.6846153846153846,0.8352941176470589,0.4,0.15067873303167423,-0.2846153846153846,5.733815488263385,9.819615331418227e-09,***
EfficientNetV2B0,Precision (Malignant),0.6779505946935042,0.648,0.7976190476190477,0.3414634146341463,0.14961904761904765,-0.3065365853658537,5.818678552350009,5.9314676806609214e-09,***
VGG16,Precision (Malignant),0.6866197183098591,0.5974842767295597,0.7549019607843137,0.3157894736842105,0.15741768405475398,-0.2816948030453492,5.498362959668652,3.8333327583127105e-08,***
ResNet50,Sensitivity,0.9937965260545906,0.8673469387755102,0.8860759493670886,0.7894736842105263,0.018729010591578388,-0.07787325456498384,1.6689551046041076,0.09512627758346497,
DenseNet121,Sensitivity,0.9813895781637716,0.9387755102040816,0.9493670886075948,0.8947368421052632,0.010591578403513213,-0.0440386680988184,1.3145492243738404,0.1886614443870155,
MobileNetV2,Sensitivity,0.8684863523573201,0.9081632653061223,0.8987341772151899,0.9473684210526316,-0.009429088090932458,0.03920515574650929,-1.074285305797375,0.28269482882658414,
EfficientNetV2B0,Sensitivity,0.9193548387096774,0.826530612244898,0.8481012658227848,0.7368421052631579,0.02157065357788679,-0.08968850698174013,1.735808406945795,0.0825977171273966,
VGG16,Sensitivity,0.967741935483871,0.9693877551020408,0.9746835443037974,0.9473684210526316,0.005295789201756662,-0.022019334049409145,0.9125559023557696,0.3614761558041464,
ResNet50,AUC-PR,0.9294544323640996,0.901005014469756,0.9493917791317203,0.7493894398352279,0.04838676466196434,-0.15161557463452813,3.762252996429466,0.00016838958091864453,***
DenseNet121,AUC-PR,0.9171063351882154,0.871149604972794,0.9155546936277948,0.7396230930610523,0.04440508865500081,-0.1315265119117417,3.0531476669328006,0.0022645447359553846,**
MobileNetV2,AUC-PR,0.8010612770233699,0.7821913784258095,0.8784297938224659,0.5284279293084231,0.09623841539665634,-0.25376344911738646,4.9936356949950556,5.925311983846267e-07,***
EfficientNetV2B0,AUC-PR,0.8041266456218867,0.6916929420462776,0.843449820440377,0.3715129303007341,0.15175687839409935,-0.3201800117455435,6.192248736813951,5.931185354684605e-10,***
VGG16,AUC-PR,0.7940012885814666,0.7146016943943561,0.8653806315300215,0.4960554879634,0.15077893713566548,-0.21854620643095607,5.135688982868109,2.811122298029384e-07,***
ResNet50,Specificity,0.6703841387856257,0.6417910447761194,0.7142857142857143,0.5897435897435898,0.07249466950959493,-0.05204745503252961,1.625008061539461,0.10416084111678486,
DenseNet121,Specificity,0.6456009913258984,0.3880597014925373,0.3928571428571428,0.3846153846153846,0.00479744136460547,-0.003444316877152742,0.10363216937113238,0.9174612576374861,
MobileNetV2,Specificity,0.6666666666666666,0.3880597014925373,0.5,0.3076923076923077,0.11194029850746268,-0.08036739380022961,2.380654777897688,0.017281899254666812,*
EfficientNetV2B0,Specificity,0.563816604708798,0.3432835820895522,0.3928571428571428,0.3076923076923077,0.04957356076759062,-0.035591274397244466,1.086229718415043,0.2773773722643049,
VGG16,Specificity,0.5588599752168525,0.044776119402985,0.1071428571428571,0.0,0.06236673773987209,-0.044776119402985,2.5842401742943406,0.009759380709215748,**
ResNet50,Accuracy,0.8319900805951643,0.7757575757575758,0.8411214953271028,0.6551724137931034,0.06536391956952703,-0.12058516196447233,2.7342363233131173,0.006252515089636395,**
DenseNet121,Accuracy,0.8133911965282083,0.7151515151515152,0.8037383177570093,0.5517241379310345,0.08858680260549412,-0.16342737722048073,3.424387496091033,0.000616186916362383,***
MobileNetV2,Accuracy,0.7675139491630503,0.696969696969697,0.794392523364486,0.5172413793103449,0.09742282639478894,-0.17972831765935215,3.698542478670899,0.00021684106397587433,***
EfficientNetV2B0,Accuracy,0.7414755114693118,0.6303030303030303,0.7289719626168224,0.4482758620689655,0.09866893231379215,-0.18202716823406473,3.566174990624602,0.0003622295466744888,***
VGG16,Accuracy,0.7631742095474272,0.593939393939394,0.7476635514018691,0.3103448275862069,0.15372415746247514,-0.2835945663531871,5.4612931687668596,4.7267872318324334e-08,***
ResNet50,AUC-ROC,0.9453510074687672,0.8466341760584831,0.8770343580470162,0.7759784075573549,0.030400181988533115,-0.0706557685011282,1.6970595333787217,0.08968540577610534,
DenseNet121,AUC-ROC,0.9295694312482896,0.8330795004568992,0.8227848101265822,0.8097165991902834,-0.010294690330316936,-0.023362901266615776,0.2077998059579204,0.8353852841300923,
MobileNetV2,AUC-ROC,0.8421903874596044,0.7398720682302772,0.7726039783001808,0.7017543859649122,0.032731910069903614,-0.03811768226536494,1.0004111860150218,0.3171115588179224,
EfficientNetV2B0,AUC-ROC,0.8352704776136843,0.6242765763021627,0.6821880650994575,0.5425101214574899,0.0579114887972948,-0.08176645484467282,1.7773748640693394,0.07550658358406225,
VGG16,AUC-ROC,0.8414739515590938,0.6201644837039293,0.722875226039783,0.6126855600539811,0.10271074233585376,-0.007478923649948177,1.4537364239476998,0.14601939565662392,
ResNet50,F1-Score (Malignant),0.8553123331553658,0.821256038647343,0.8917197452229298,0.6,0.07046370657558687,-0.221256038647343,4.386141672228163,1.1537898796991272e-05,***
DenseNet121,F1-Score (Malignant),0.8401486988847584,0.7965367965367965,0.8771929824561402,0.5666666666666667,0.08065618591934365,-0.2298701298701299,4.5119339063991655,6.423920756718908e-06,***
MobileNetV2,F1-Score (Malignant),0.7887323943661972,0.780701754385965,0.8658536585365854,0.5625,0.08515190415062035,-0.218201754385965,4.351302539586207,1.3533116559724547e-05,***
EfficientNetV2B0,F1-Score (Malignant),0.7804107424960506,0.726457399103139,0.8220858895705523,0.4666666666666667,0.09562849046741329,-0.2597907324364723,4.743819809031597,2.097254185345041e-06,***
VGG16,F1-Score (Malignant),0.8032955715756952,0.7392996108949416,0.8508287292817679,0.4736842105263157,0.11152911838682633,-0.26561540036862585,5.141680425084734,2.7229198949118697e-07,***
ResNet50,MCC,0.7017977730422563,0.5280544111880395,0.5936892886103506,0.3568079209470349,0.06563487742231111,-0.17124649024100463,2.906157679670632,0.003658970140009359,**
