n,failure_rate,detection_probability
21,0.001,0.020791324035294823
21,0.01,0.19027213177874158
21,0.05,0.6594383737118852
25,0.001,0.024702287402953438
25,0.01,0.22217864060085335
25,0.05,0.7226104268781662
46,0.001,0.044980018176440484
46,0.01,0.37017636879676774
46,0.05,0.9055317558622624
77,0.001,0.07414581624810523
77,0.01,0.5387780325819045
77,0.05,0.9807372802040956
105,0.001,0.09972277474378688
105,0.01,0.651906885507558
105,0.05,0.9954188073493938
151,0.001,0.14021726069964668
151,0.01,0.7807627306335276
151,0.05,0.9995672227742405
