Metric,Architecture,n_seeds,mean_light,mean_dark,mean_gap,sd_gap,n_positive_gap,n_ci_light_higher,n_ci_includes_zero,n_ci_dark_higher,ci_direction_counts
Recall / sensitivity,ResNet50,5,0.6155844155844156,0.5714285714285714,0.0441558441558441,0.0517130325853435,4,0,5,0,0/5/0
Recall / sensitivity,DenseNet121,5,0.587012987012987,0.4857142857142856,0.1012987012987012,0.0347131085657653,5,0,5,0,0/5/0
Recall / sensitivity,MobileNetV2,5,0.612987012987013,0.6095238095238095,0.0034632034632034,0.0781262356773402,2,0,5,0,0/5/0
Recall / sensitivity,EfficientNetV2B0,5,0.7584415584415585,0.6761904761904762,0.0822510822510822,0.0450923520692633,5,0,5,0,0/5/0
Recall / sensitivity,VGG16,5,0.6103896103896104,0.6190476190476191,-0.0086580086580086,0.0383550760750418,2,0,5,0,0/5/0
AUC-PR,ResNet50,5,0.9558252231682554,0.7843304445274306,0.1714947786408247,0.0318936519812502,5,5,0,0,5/0/0
AUC-PR,DenseNet121,5,0.9293895578725848,0.7481997391385752,0.1811898187340097,0.0257392436244883,5,3,2,0,3/2/0
AUC-PR,MobileNetV2,5,0.923065248916509,0.7182882786638614,0.2047769702526475,0.057373897431895,5,4,1,0,4/1/0
AUC-PR,EfficientNetV2B0,5,0.9423092795247318,0.7933612963897657,0.1489479831349659,0.0249119517482395,5,3,2,0,3/2/0
AUC-PR,VGG16,5,0.9317340035544046,0.7101872488519573,0.2215467547024472,0.0345599664241024,5,5,0,0,5/0/0
F1-score,ResNet50,5,0.7479918853852772,0.6486161349319244,0.0993757504533528,0.0430330688911514,5,0,5,0,0/5/0
F1-score,DenseNet121,5,0.7218155911071451,0.6038708513708514,0.1179447397362936,0.0460687402191259,5,0,5,0,0/5/0
F1-score,MobileNetV2,5,0.7269758782639733,0.6236925152048894,0.1032833630590837,0.0889323603471663,4,1,4,0,1/4/0
F1-score,EfficientNetV2B0,5,0.8327752807156422,0.6723140815823743,0.1604611991332679,0.0238654361827041,5,2,3,0,2/3/0
F1-score,VGG16,5,0.7377898996086462,0.6477335129721911,0.0900563866364551,0.0248217735047097,5,0,5,0,0/5/0
Precision,ResNet50,5,0.9577979797979796,0.7519957983193277,0.205802181478652,0.0284022931597206,5,2,3,0,2/3/0
Precision,DenseNet121,5,0.938600148643627,0.8041125541125542,0.1344875945310727,0.0836449360302654,5,0,5,0,0/5/0
Precision,MobileNetV2,5,0.8962147610405324,0.6423129260025208,0.2539018350380115,0.1014131593775954,5,4,1,0,4/1/0
Precision,EfficientNetV2B0,5,0.924341174186095,0.6720220841959972,0.2523190899900978,0.0420055548451502,5,4,1,0,4/1/0
Precision,VGG16,5,0.9396855252027668,0.6873866542664497,0.2522988709363169,0.0464247984980245,5,4,1,0,4/1/0
