Metric,Target condition,n_model_seed,n_target,mean_target,sd_across_systems,mean_half_width,max_half_width
Recall / sensitivity,Overall,25,151,0.6273469387755103,0.07293836818329366,0.09440108475518734,0.09984858891108891
Recall / sensitivity,Light phototype,25,105,0.6368831168831169,0.0765095640177156,0.10637388072670301,0.11322081575246135
Recall / sensitivity,Dark phototype,25,46,0.5923809523809523,0.08141789589353754,0.2103209692771545,0.22037037037037036
AUC-PR,Overall,25,151,0.889316470399661,0.02272556821306019,0.056502335760278355,0.07618507476710751
AUC-PR,Light phototype,25,105,0.936464662607297,0.01671356342361797,0.04671529718749129,0.0774242964448712
AUC-PR,Dark phototype,25,46,0.7508734015143181,0.04558376445997601,0.16689857938035352,0.19747001698473446
F1-score,Overall,25,151,0.7272273851585189,0.044239424117097144,0.07599076585927339,0.086926169069026
F1-score,Light phototype,25,105,0.7534697070161367,0.050805149128294244,0.08289812385143529,0.09572884461238979
F1-score,Dark phototype,25,46,0.6392454192124462,0.04583447822134173,0.17999002912709652,0.21370967741935484
Precision,Overall,25,151,0.8745620316441659,0.042435174569247176,0.07568913795206518,0.09249226006191952
Precision,Light phototype,25,105,0.9313279177742001,0.03182357277598774,0.06340380117515196,0.09183673469387749
Precision,Dark phototype,25,46,0.71156600337937,0.08548636910862357,0.20852749546921373,0.24166666666666667
Accuracy,Overall,25,151,0.697748344370861,0.03765139946692618,0.07258278145695364,0.076158940397351
Accuracy,Light phototype,25,105,0.6982857142857144,0.050223988089276986,0.08647619047619048,0.09523809523809529
Accuracy,Dark phototype,25,46,0.6965217391304347,0.04185370747302508,0.13086956521739132,0.15217391304347827
Specificity,Overall,25,151,0.8279245283018869,0.07232430949164806,0.09852077566633771,0.1256862745098039
Specificity,Light phototype,25,105,0.8671428571428572,0.06481265518483909,0.11801401452403282,0.1539408866995074
Specificity,Dark phototype,25,46,0.784,0.0979795897113271,0.15382962329943625,0.195
AUC-ROC,Overall,25,151,0.8189295340777822,0.03315061246156873,0.06929157218114908,0.08429165158239194
AUC-ROC,Light phototype,25,105,0.8540445269016698,0.030435670733855853,0.08202207771232269,0.1141024187130385
AUC-ROC,Dark phototype,25,46,0.7520761904761906,0.043521065524282136,0.14578426059088576,0.17077407649969575
