metric_group,model,model_label,metric,n_seeds,mean_light,sd_light,mean_dark,sd_dark,mean_gap,sd_gap,min_gap,max_gap,n_gap_positive,n_interval_light_higher,n_interval_dark_higher,n_interval_includes_zero,min_boot_valid
Primary,resnet50,ResNet50,recall,5,0.6155844155844156,0.046463750181813826,0.5714285714285714,0.03367175148507369,0.04415584415584415,0.051713032585343585,-0.03463203463203468,0.09090909090909094,4,0,0,5,10000
Primary,densenet121,DenseNet121,recall,5,0.587012987012987,0.028155173232050426,0.48571428571428565,0.0398409536444798,0.10129870129870126,0.03471310856576531,0.06926406926406925,0.14285714285714285,5,0,0,5,10000
Primary,mobilenetv2,MobileNetV2,recall,5,0.612987012987013,0.06454427864825549,0.6095238095238095,0.02129588549999804,0.0034632034632034346,0.0781262356773402,-0.07359307359307365,0.10389610389610393,2,0,0,5,10000
Primary,efficientnetv2b0,EfficientNetV2B0,recall,5,0.7584415584415585,0.03386598652053322,0.6761904761904762,0.06208764195431093,0.08225108225108228,0.045092352069263306,0.0043290043290044045,0.12121212121212122,5,0,0,5,10000
Primary,vgg16,VGG16,recall,5,0.6103896103896104,0.055859254980796295,0.6190476190476191,0.08908708063747477,-0.008658008658008675,0.03835507607504188,-0.051948051948051965,0.03463203463203457,2,0,0,5,10000
Primary,resnet50,ResNet50,auc_pr,5,0.9558252231682554,0.008264980707287243,0.7843304445274306,0.02969704121929563,0.1714947786408247,0.03189365198125021,0.14276787933528412,0.21991906178745102,5,5,0,0,10000
Primary,densenet121,DenseNet121,auc_pr,5,0.9293895578725848,0.016833128891033798,0.7481997391385752,0.029063398866046457,0.1811898187340097,0.02573924362448834,0.14598936171450838,0.2102997255128093,5,3,0,2,10000
Primary,mobilenetv2,MobileNetV2,auc_pr,5,0.923065248916509,0.02028456359538662,0.7182882786638614,0.0427153010236064,0.20477697025264757,0.05737389743189504,0.13430858906843313,0.25941690010664764,5,4,0,1,10000
Primary,efficientnetv2b0,EfficientNetV2B0,auc_pr,5,0.9423092795247318,0.007345642097691148,0.7933612963897657,0.022040785808468105,0.14894798313496593,0.02491195174823957,0.11100668853644147,0.17746796401693865,5,3,0,2,10000
Primary,vgg16,VGG16,auc_pr,5,0.9317340035544046,0.005723536895933789,0.7101872488519573,0.037002271278879235,0.22154675470244722,0.034559966424102445,0.1765312664575781,0.26669238254046934,5,5,0,0,10000
Primary,resnet50,ResNet50,f1,5,0.7479918853852772,0.02786083676445273,0.6486161349319244,0.031255718051227295,0.09937575045335281,0.04303306889115145,0.035002215330084185,0.14704700683005223,5,0,0,5,10000
Primary,densenet121,DenseNet121,f1,5,0.7218155911071451,0.022898483566006256,0.6038708513708514,0.046379260211806224,0.11794473973629364,0.04606874021912595,0.07349081364829402,0.17312661498708004,5,0,0,5,10000
Primary,mobilenetv2,MobileNetV2,f1,5,0.7269758782639733,0.05079721817126274,0.6236925152048894,0.05231526765898416,0.10328336305908378,0.08893236034716633,-0.01221052631578945,0.23066485753052923,4,1,0,4,10000
Primary,efficientnetv2b0,EfficientNetV2B0,f1,5,0.8327752807156422,0.018394008047402863,0.6723140815823743,0.03382815824571137,0.1604611991332679,0.02386543618270415,0.12576832151300232,0.18977591036414565,5,2,0,3,10000
Primary,vgg16,VGG16,f1,5,0.7377898996086462,0.030516990832965777,0.6477335129721911,0.04650053723102043,0.0900563866364551,0.02482177350470974,0.06924287462843148,0.13179643323183987,5,0,0,5,10000
Primary,resnet50,ResNet50,precision,5,0.9577979797979796,0.02994642020089697,0.7519957983193277,0.04757777241905694,0.205802181478652,0.028402293159720694,0.17727272727272725,0.2385620915032679,5,2,0,3,10000
Primary,densenet121,DenseNet121,precision,5,0.938600148643627,0.030770230507045124,0.8041125541125542,0.09076080464386366,0.13448759453107278,0.08364493603026547,0.023333333333333317,0.23717948717948723,5,0,0,5,10000
Primary,mobilenetv2,MobileNetV2,precision,5,0.8962147610405324,0.017989060345204675,0.6423129260025208,0.09216144831594757,0.25390183503801156,0.10141315937759542,0.11029411764705888,0.3905415713196033,5,4,0,1,10000
Primary,efficientnetv2b0,EfficientNetV2B0,precision,5,0.924341174186095,0.009986962148596679,0.6720220841959972,0.04040959658100345,0.25231908999009783,0.042005554845150214,0.19713261648745517,0.31315577078288936,5,4,0,1,10000
