model,seed,metric,metric_group,target_condition,n_source,n_source_clusters,n_target,source_bootstrap_unit,target_bootstrap_unit,n_boot_requested,n_boot_valid,source_performance,source_ci_low,source_ci_high,target_performance,target_ci_low,target_ci_high,degradation,degradation_ci_low,degradation_ci_high,tau,epsilon,tac_decision,etc_decision,joint_region,source_file,target_file
ResNet50,347535239,recall,Primary,BOSQUE overall,990,747,151,lesion,image_or_lesion,10000,10000,0.732620320855615,0.6603743347847121,0.8035714285714286,0.6020408163265306,0.5048543689320388,0.6947368421052632,0.1305795045290844,0.011765272806980356,0.2525252525252525,0.7,0.05,not adequate,inconclusive,inconclusive,outputs/predictions/ham10000_internal_test_predictions_resnet50_seed347535239_20260723T064052Z.csv,outputs/predictions/bosque_public_predictions_resnet50_seed347535239_20260723T064052Z.csv
ResNet50,780568470,recall,Primary,BOSQUE overall,990,747,151,lesion,image_or_lesion,10000,10000,0.6844919786096256,0.6,0.7647058823529411,0.5918367346938775,0.49090051457975986,0.6886844863731655,0.09265524391574809,-0.03552195143627371,0.22258784835255407,0.7,0.05,not adequate,inconclusive,inconclusive,outputs/predictions/ham10000_internal_test_predictions_resnet50_seed780568470_20260723T064323Z.csv,outputs/predictions/bosque_public_predictions_resnet50_seed780568470_20260723T064323Z.csv
ResNet50,1431725881,recall,Primary,BOSQUE overall,990,747,151,lesion,image_or_lesion,10000,10000,0.6737967914438503,0.5930217950216198,0.7513227513227513,0.6428571428571429,0.5454342532467532,0.7383177570093458,0.03093964858670739,-0.09235413769729019,0.1553885590424945,0.7,0.05,inconclusive,inconclusive,inconclusive,outputs/predictions/ham10000_internal_test_predictions_resnet50_seed1431725881_20260723T064130Z.csv,outputs/predictions/bosque_public_predictions_resnet50_seed1431725881_20260723T064130Z.csv
ResNet50,3368960919,recall,Primary,BOSQUE overall,990,747,151,lesion,image_or_lesion,10000,10000,0.6631016042780749,0.5759122640012693,0.7471264367816092,0.5510204081632653,0.45,0.648936170212766,0.1120811961148096,-0.017105982797302733,0.24508365629703452,0.7,0.05,not adequate,inconclusive,inconclusive,outputs/predictions/ham10000_internal_test_predictions_resnet50_seed3368960919_20260723T064208Z.csv,outputs/predictions/bosque_public_predictions_resnet50_seed3368960919_20260723T064208Z.csv
ResNet50,4236551057,recall,Primary,BOSQUE overall,990,747,151,lesion,image_or_lesion,10000,10000,0.7112299465240641,0.6307692307692307,0.7857231698649607,0.6428571428571429,0.5463917525773195,0.7368421052631579,0.06837280366692122,-0.05368340834564635,0.19260209982813173,0.7,0.05,inconclusive,inconclusive,inconclusive,outputs/predictions/ham10000_internal_test_predictions_resnet50_seed4236551057_20260723T064245Z.csv,outputs/predictions/bosque_public_predictions_resnet50_seed4236551057_20260723T064245Z.csv
DenseNet121,347535239,recall,Primary,BOSQUE overall,990,747,151,lesion,image_or_lesion,10000,10000,0.6737967914438503,0.5967741935483871,0.7487437185929648,0.5918367346938775,0.4945054945054945,0.6881720430107527,0.08196005674997275,-0.041253383658414605,0.20744775537023535,0.7,0.05,not adequate,inconclusive,inconclusive,outputs/predictions/ham10000_internal_test_predictions_densenet121_seed347535239_20260723T064346Z.csv,outputs/predictions/bosque_public_predictions_densenet121_seed347535239_20260723T064346Z.csv
DenseNet121,780568470,recall,Primary,BOSQUE overall,990,747,151,lesion,image_or_lesion,10000,10000,0.7005347593582888,0.6223374704491726,0.7760523897058822,0.5816326530612245,0.4838709677419355,0.6767676767676768,0.11890210629706432,-0.003816585602299896,0.24287145097154575,0.7,0.05,not adequate,inconclusive,inconclusive,outputs/predictions/ham10000_internal_test_predictions_densenet121_seed780568470_20260723T064518Z.csv,outputs/predictions/bosque_public_predictions_densenet121_seed780568470_20260723T064518Z.csv
DenseNet121,1431725881,recall,Primary,BOSQUE overall,990,747,151,lesion,image_or_lesion,10000,10000,0.7112299465240641,0.6315715965892384,0.786096256684492,0.5816326530612245,0.4838709677419355,0.6777777777777778,0.12959729346283966,0.003063911907791185,0.2518960104438046,0.7,0.05,not adequate,inconclusive,inconclusive,outputs/predictions/ham10000_internal_test_predictions_densenet121_seed1431725881_20260723T064409Z.csv,outputs/predictions/bosque_public_predictions_densenet121_seed1431725881_20260723T064409Z.csv
DenseNet121,3368960919,recall,Primary,BOSQUE overall,990,747,151,lesion,image_or_lesion,10000,10000,0.6844919786096256,0.6019900497512438,0.7634408602150538,0.5306122448979592,0.4326923076923077,0.63,0.1538797337116664,0.024725020826824977,0.27982320994860993,0.7,0.05,not adequate,inconclusive,inconclusive,outputs/predictions/ham10000_internal_test_predictions_densenet121_seed3368960919_20260723T064432Z.csv,outputs/predictions/bosque_public_predictions_densenet121_seed3368960919_20260723T064432Z.csv
DenseNet121,4236551057,recall,Primary,BOSQUE overall,990,747,151,lesion,image_or_lesion,10000,10000,0.7112299465240641,0.6342857142857142,0.7831325301204819,0.5408163265306123,0.4431599650349651,0.6428571428571429,0.17041361999345184,0.043386065546827855,0.29379701188424534,0.7,0.05,not adequate,inconclusive,inconclusive,outputs/predictions/ham10000_internal_test_predictions_densenet121_seed4236551057_20260723T064455Z.csv,outputs/predictions/bosque_public_predictions_densenet121_seed4236551057_20260723T064455Z.csv
MobileNetV2,347535239,recall,Primary,BOSQUE overall,990,747,151,lesion,image_or_lesion,10000,10000,0.6737967914438503,0.5935828877005348,0.7512201189176071,0.5612244897959183,0.4631380871533673,0.66,0.11257230164793197,-0.016854410895049847,0.24073706447061707,0.7,0.05,not adequate,inconclusive,inconclusive,outputs/predictions/ham10000_internal_test_predictions_mobilenetv2_seed347535239_20260723T064646Z.csv,outputs/predictions/bosque_public_predictions_mobilenetv2_seed347535239_20260723T064646Z.csv
