metric_group,model,metric,target_condition,n_seeds,n_target,source_mean,source_sd,target_mean,target_sd,degradation_mean,degradation_sd,tac_adequate_n,tac_not_adequate_n,tac_inconclusive_n,etc_transported_n,etc_not_transported_n,etc_inconclusive_n,most_common_joint_region
Primary,DenseNet121,recall,BOSQUE overall,5,151,0.7163265306122449,0.02436191099247616,0.5857142857142857,0.07484539110568264,0.13061224489795914,0.07867737357633156,0,2,3,0,2,3,inconclusive
Primary,EfficientNetV2B0,recall,BOSQUE overall,5,151,0.6693877551020408,0.04135486556971307,0.6816326530612244,0.033378422926114565,-0.012244897959183682,0.041543271399637226,0,0,5,1,0,4,inconclusive
Primary,MobileNetV2,recall,BOSQUE overall,5,151,0.7163265306122449,0.019956742056742773,0.5714285714285714,0.036076876591150386,0.14489795918367349,0.028996473955883315,0,4,1,0,1,4,inconclusive
Primary,ResNet50,recall,BOSQUE overall,5,151,0.7061224489795919,0.04427325132636047,0.5510204081632654,0.028861501272920306,0.15510204081632648,0.06459675320618938,0,5,0,0,2,3,inconclusive
Primary,VGG16,recall,BOSQUE overall,5,151,0.7285714285714285,0.051704596163911175,0.5265306122448979,0.04119720252691093,0.20204081632653054,0.04091187795250909,0,5,0,0,4,1,not adequate and not transported
Primary,DenseNet121,recall,BOSQUE light,5,105,0.7163265306122449,0.02436191099247616,0.6051948051948052,0.07770532624234598,0.11113172541743968,0.08387972390703463,0,2,3,0,1,4,inconclusive
Primary,EfficientNetV2B0,recall,BOSQUE light,5,105,0.6693877551020408,0.04135486556971307,0.7090909090909091,0.0446118546423836,-0.039703153988868256,0.05125452274076283,0,0,5,1,0,4,inconclusive
Primary,MobileNetV2,recall,BOSQUE light,5,105,0.7163265306122449,0.019956742056742773,0.5688311688311688,0.03603749850782237,0.14749536178107608,0.02809283090997762,0,3,2,0,1,4,inconclusive
Primary,ResNet50,recall,BOSQUE light,5,105,0.7061224489795919,0.04427325132636047,0.5844155844155844,0.025974025974025965,0.12170686456400741,0.056842882064367446,0,3,2,0,1,4,inconclusive
Primary,VGG16,recall,BOSQUE light,5,105,0.7285714285714285,0.051704596163911175,0.535064935064935,0.04044782208414918,0.19350649350649346,0.035887647571739026,0,5,0,0,4,1,not adequate and not transported
Primary,DenseNet121,recall,BOSQUE dark,5,46,0.7163265306122449,0.02436191099247616,0.5142857142857142,0.07824607964359517,0.2020408163265306,0.07217780042615529,0,1,4,0,1,4,inconclusive
Primary,EfficientNetV2B0,recall,BOSQUE dark,5,46,0.6693877551020408,0.04135486556971307,0.5809523809523809,0.0398409536444798,0.08843537414965985,0.045902617606346174,0,0,5,0,0,5,inconclusive
