model,seed,metric,n_source,source_performance,source_ci_low,source_ci_high,source_half_width,source_half_width_tolerance,source_within_tolerance
DenseNet121,1,recall,1002,0.75,0.686797112462006,0.8111139455782312,0.062158416558112606,0.075,True
DenseNet121,2,recall,1002,0.7142857142857143,0.6519552970441909,0.7760699728260868,0.06205733789094797,0.075,True
DenseNet121,3,recall,1002,0.6989795918367347,0.6358959537572254,0.7623824882488248,0.0632432672457997,0.075,True
DenseNet121,4,recall,1002,0.6887755102040817,0.6238083451202263,0.7538502673796791,0.06502096112972638,0.075,True
DenseNet121,5,recall,1002,0.7295918367346939,0.6616142191142191,0.7916719543147207,0.06502886760025078,0.075,True
EfficientNetV2B0,1,recall,1002,0.7193877551020408,0.6509433962264151,0.7816657762705566,0.06536119002207075,0.075,True
EfficientNetV2B0,2,recall,1002,0.7091836734693877,0.6473285745187107,0.7711442786069652,0.06190785204412724,0.075,True
EfficientNetV2B0,3,recall,1002,0.6326530612244898,0.5631578947368421,0.6972670088109728,0.06705455703706537,0.075,True
EfficientNetV2B0,4,recall,1002,0.6428571428571429,0.573674001814882,0.7100095628415299,0.06816778051332395,0.075,True
EfficientNetV2B0,5,recall,1002,0.6428571428571429,0.5742574257425742,0.7107843137254902,0.068263443991458,0.075,True
MobileNetV2,1,recall,1002,0.7244897959183674,0.6615384615384615,0.7845325116872078,0.06149702507437316,0.075,True
MobileNetV2,2,recall,1002,0.6887755102040817,0.6224433106575964,0.7488869863013696,0.06322183782188662,0.075,True
MobileNetV2,3,recall,1002,0.7040816326530612,0.6391714860447573,0.7696084847551586,0.06521849935520069,0.075,True
MobileNetV2,4,recall,1002,0.7244897959183674,0.657608695652174,0.7883744117412459,0.06538285804453597,0.075,True
MobileNetV2,5,recall,1002,0.7397959183673469,0.6755250603202456,0.801047824128807,0.06276138190428071,0.075,True
ResNet50,1,recall,1002,0.7448979591836735,0.6834048290231646,0.8050032051282051,0.06079918805252027,0.075,True
ResNet50,2,recall,1002,0.6326530612244898,0.5700471014492754,0.6979290674603174,0.06394098300552098,0.075,True
ResNet50,3,recall,1002,0.7295918367346939,0.6666666666666666,0.7938301832760595,0.06358175830469642,0.075,True
ResNet50,4,recall,1002,0.7244897959183674,0.6616122159090909,0.789786473607038,0.06408712884897355,0.075,True
ResNet50,5,recall,1002,0.6989795918367347,0.6363531629660661,0.7588056020844964,0.061226219559215145,0.075,True
VGG16,1,recall,1002,0.7755102040816326,0.7127055947164539,0.8342253375483795,0.060759871415962785,0.075,True
VGG16,2,recall,1002,0.6836734693877551,0.6203156275206884,0.7486669032110905,0.06417563784520108,0.075,True
VGG16,3,recall,1002,0.7704081632653061,0.7099961139896372,0.8274415675149256,0.05872272676264417,0.075,True
VGG16,4,recall,1002,0.6632653061224489,0.595,0.7258177149035862,0.06540885745179309,0.075,True
VGG16,5,recall,1002,0.75,0.6874919871794872,0.8091017316017315,0.06080487221112213,0.075,True
DenseNet121,1,auc_pr,1002,0.7573085176216687,0.6976321106829495,0.8154192184384882,0.058893553877769345,0.075,True
DenseNet121,2,auc_pr,1002,0.7006596590965503,0.6341858284282412,0.7642088456846239,0.06501150862819133,0.075,True
DenseNet121,3,auc_pr,1002,0.7532987448098206,0.6987377399300654,0.8034963246467076,0.05237929235832112,0.075,True
DenseNet121,4,auc_pr,1002,0.7263014386905409,0.6615193779114327,0.7884664102511523,0.0634735161698598,0.075,True
DenseNet121,5,auc_pr,1002,0.7254321823633717,0.6608710398949037,0.7833218472068592,0.06122540365597773,0.075,True
EfficientNetV2B0,1,auc_pr,1002,0.7828598443806075,0.7291892219800334,0.8315257259991853,0.05116825200957592,0.075,True
EfficientNetV2B0,2,auc_pr,1002,0.7322869172229063,0.6683084760800523,0.7888270446819615,0.06025928430095462,0.075,True
EfficientNetV2B0,3,auc_pr,1002,0.7861271487276731,0.7343033280626351,0.8334953070725606,0.049595989504962745,0.075,True
EfficientNetV2B0,4,auc_pr,1002,0.7443894723027012,0.6799140373532825,0.8042591934340498,0.062172578040383675,0.075,True
EfficientNetV2B0,5,auc_pr,1002,0.7113147014664541,0.6435768319464499,0.7777117192353026,0.06706744364442635,0.075,True
MobileNetV2,1,auc_pr,1002,0.7778569595450286,0.722978113603174,0.8274906064752315,0.052256246436028775,0.075,True
MobileNetV2,2,auc_pr,1002,0.6982070770192408,0.627268189696971,0.7598614297265335,0.06629662001478126,0.075,True
MobileNetV2,3,auc_pr,1002,0.663463644043275,0.5954570733123178,0.7353706869680542,0.0699568068278682,0.075,True
MobileNetV2,4,auc_pr,1002,0.7456569488582457,0.6899221628557589,0.7990242660073212,0.05455105157578116,0.075,True
MobileNetV2,5,auc_pr,1002,0.7431842044546609,0.6765804756942472,0.8020472795073806,0.06273340190656673,0.075,True
ResNet50,1,auc_pr,1002,0.8254159896389256,0.7671865491950082,0.8719219303552668,0.0523676905801293,0.075,True
ResNet50,2,auc_pr,1002,0.7460644464460853,0.680824423612724,0.8067571928735996,0.0629663846304378,0.075,True
ResNet50,3,auc_pr,1002,0.7349151930783451,0.6738229651897517,0.8003022203045875,0.06323962755741791,0.075,True
ResNet50,4,auc_pr,1002,0.7839328353088832,0.725150311194694,0.8370491495834504,0.055949419194378236,0.075,True
