model,seed,metric,target_condition,n_target,target_performance,target_ci_low,target_ci_high,target_half_width,target_half_width_tolerance,target_within_tolerance
DenseNet121,1,recall,BOSQUE overall,151,0.5306122448979592,0.4318122009569378,0.6285787923416788,0.0983832956923705,0.1,True
DenseNet121,2,recall,BOSQUE overall,151,0.673469387755102,0.5789473684210527,0.7653061224489796,0.09317937701396345,0.1,True
DenseNet121,3,recall,BOSQUE overall,151,0.6326530612244898,0.5353535353535354,0.7263157894736842,0.09548112706007444,0.1,True
DenseNet121,4,recall,BOSQUE overall,151,0.4897959183673469,0.3894590643274854,0.5882352941176471,0.09938811489508084,0.1,True
DenseNet121,5,recall,BOSQUE overall,151,0.6020408163265306,0.5053735144312393,0.6981334956380602,0.0963799906034104,0.1,True
EfficientNetV2B0,1,recall,BOSQUE overall,151,0.7040816326530612,0.6116504854368932,0.7938144329896907,0.09108197377639876,0.1,True
EfficientNetV2B0,2,recall,BOSQUE overall,151,0.6938775510204082,0.6,0.7835121203677904,0.0917560601838952,0.1,True
EfficientNetV2B0,3,recall,BOSQUE overall,151,0.7142857142857143,0.625,0.8,0.08750000000000002,0.1,True
EfficientNetV2B0,4,recall,BOSQUE overall,151,0.6326530612244898,0.5348837209302325,0.7264150943396226,0.09576568670469504,0.1,True
EfficientNetV2B0,5,recall,BOSQUE overall,151,0.6632653061224489,0.5670103092783505,0.7561140408701382,0.09455186579589386,0.1,True
MobileNetV2,1,recall,BOSQUE overall,151,0.5918367346938775,0.4948453608247423,0.6881720430107527,0.09666334109300523,0.1,True
MobileNetV2,2,recall,BOSQUE overall,151,0.5306122448979592,0.4301048387096774,0.63,0.0999475806451613,0.1,True
MobileNetV2,3,recall,BOSQUE overall,151,0.5510204081632653,0.4516129032258064,0.6504854368932039,0.09943626683369877,0.1,True
MobileNetV2,4,recall,BOSQUE overall,151,0.6224489795918368,0.5247524752475248,0.7184466019417476,0.0968470633471114,0.1,True
MobileNetV2,5,recall,BOSQUE overall,151,0.5612244897959183,0.4615384615384615,0.6568627450980392,0.09766214177978885,0.1,True
ResNet50,1,recall,BOSQUE overall,151,0.5204081632653061,0.422680412371134,0.62,0.09865979381443299,0.1,True
ResNet50,2,recall,BOSQUE overall,151,0.5816326530612245,0.4803921568627451,0.68,0.09980392156862747,0.1,True
